date,code,volume,open,high,low,adj_close,moving_average_2,moving_average_3,moving_average_5,moving_average_10,moving_average_20,pre_profit,profit
2011.4.18,15760,969994,26250,26300,25900,25950,26050,26083.33333,26170,26570,26625,-0.007648184,0
2011.4.19,15760,1008848,25800,25950,25700,25950,25950,26016.66667,26090,26430,26600,0,-0.007648184
2011.4.20,15760,1271872,25950,26300,25900,26200,26075,26033.33333,26080,26335,26580,0.009633911,0
2011.4.21,15760,1225103,26250,26500,26000,26050,26125,26066.66667,26060,26250,26552.5,-0.005725191,0.009633911
2011.4.22,15760,907899,26100,26200,26000,26200,26125,26150,26070,26190,26535,0.005758157,-0.005725191
2011.4.25,15760,613719,26100,26250,26000,26200,26200,26150,26120,26145,26527.5,0,0.005758157
2011.4.26,15760,883351,26200,26250,25900,26150,26175,26183.33333,26160,26125,26527.5,-0.001908397,0
2011.4.27,15760,1138891,26000,26500,26000,26300,26225,26216.66667,26180,26130,26522.5,0.005736138,-0.001908397
2011.4.28,15760,1686795,26200,26200,25750,25800,26050,26083.33333,26130,26095,26467.5,-0.019011407,0.005736138
2011.4.29,15760,1182635,25700,25850,25550,25600,25700,25900,26010,26040,26385,-0.007751938,-0.019011407
2011.5.2,15760,1696620,25650,26400,25650,26100,25850,25833.33333,25990,26055,26312.5,0.01953125,-0.007751938
2011.5.3,15760,3265421,26450,27050,26300,26650,26375,26116.66667,26090,26125,26277.5,0.021072797,0.01953125
2011.5.4,15760,3983616,27000,27600,26850,27350,27000,26700,26300,26240,26287.5,0.026266417,0.021072797
2011.5.6,15760,11657080,28100,30000,27800,29400,28375,27800,27020,26575,26412.5,0.074954296,0.026266417
2011.5.9,15760,3444809,29300,29800,28350,28850,29125,28533.33333,27670,26840,26515,-0.018707483,0.074954296
2011.5.11,15760,2195178,29100,29100,28300,28550,28700,28933.33333,28160,27075,26610,-0.010398614,-0.018707483
2011.5.12,15760,3077241,28500,28900,27850,27850,28200,28416.66667,28400,27245,26685,-0.024518389,-0.010398614
2011.5.13,15760,1653606,28000,28350,27650,27950,27900,28116.66667,28520,27410,26770,0.003590664,-0.024518389
2011.5.16,15760,1152718,27900,27900,27600,27650,27800,27816.66667,28170,27595,26845,-0.010733453,0.003590664
2011.5.17,15760,1008268,27600,28250,27600,27600,27625,27733.33333,27920,27795,26917.5,-0.001808318,-0.010733453
2011.5.18,15760,1309585,27700,27950,27400,27700,27650,27650,27750,27955,27005,0.003623188,-0.001808318
2011.5.19,15760,2566064,27700,28700,27700,27900,27800,27733.33333,27760,28080,27102.5,0.007220217,0.003623188
2011.5.20,15760,4230163,28000,29600,28000,28750,28325,28116.66667,27920,28220,27230,0.03046595,0.007220217
2011.5.23,15760,5942736,29200,30150,29150,30000,29375,28883.33333,28390,28280,27427.5,0.043478261,0.03046595
2011.5.24,15760,2209262,29750,30100,29550,29850,29925,29533.33333,28840,28380,27610,-0.005,0.043478261
2011.5.25,15760,2876540,29650,29800,28600,29650,29750,29833.33333,29230,28490,27782.5,-0.006700168,-0.005
2011.5.26,15760,1987741,29500,30100,29300,29600,29625,29700,29570,28665,27955,-0.001686341,-0.006700168
2011.5.27,15760,1687337,29550,29700,28800,29250,29425,29500,29670,28795,28102.5,-0.011824324,-0.001686341
2011.5.30,15760,940111,29300,29400,28850,29250,29250,29366.66667,29520,28955,28275,0,-0.011824324
2011.5.31,15760,2071459,29300,30000,29050,29850,29550,29450,29520,29180,28487.5,0.020512821,0
2011.6.1,15760,3133525,29400,29500,28450,28950,29400,29350,29380,29305,28630,-0.030150754,0.020512821
2011.6.2,15760,2015851,28600,28650,27700,28000,28475,28933.33333,29060,29315,28697.5,-0.032815199,-0.030150754
2011.6.3,15760,989803,28050,28600,27950,28450,28225,28466.66667,28900,29285,28752.5,0.016071429,-0.032815199
2011.6.7,15760,1455620,28250,28400,27850,28100,28275,28183.33333,28670,29095,28687.5,-0.012302285,0.016071429
2011.6.8,15760,860182,28200,28500,28150,28200,28150,28250,28340,28930,28655,0.003558719,-0.012302285
2011.6.9,15760,1157184,28150,28450,27950,28200,28200,28166.66667,28190,28785,28637.5,0,0.003558719
2011.6.10,15760,879246,28350,28600,28050,28100,28150,28166.66667,28210,28635,28650,-0.003546099,0
2011.6.13,15760,1544176,27950,28000,27200,27400,27750,27900,28000,28450,28622.5,-0.024911032,-0.003546099
2011.6.14,15760,1966978,27250,27400,26850,27050,27225,27516.66667,27790,28230,28592.5,-0.012773723,-0.024911032
2011.6.15,15760,2216038,27050,27200,26400,27050,27050,27166.66667,27560,27950,28565,0,-0.012773723
2011.6.16,15760,1586373,27000,27450,26650,27150,27100,27083.33333,27350,27770,28537.5,0.003696858,0
2011.6.17,15760,1766186,27150,28150,27150,27500,27325,27233.33333,27230,27720,28517.5,0.012891344,0.003696858
